probability p,quantile(p)
0.00463,-2.602302996
0.00464,-2.601563069
0.00465,-2.600824564
0.00466,-2.600087474
0.00467,-2.599351795
0.00468,-2.598617519
0.00469,-2.597884642
0.0047,-2.597153158
0.00471,-2.596423061
0.00472,-2.595694345
0.00473,-2.594967005
0.00474,-2.594241035
0.00475,-2.59351643
0.00476,-2.592793184
0.00477,-2.592071291
0.00478,-2.591350747
0.00479,-2.590631546
0.0048,-2.589913683
0.00481,-2.589197151
0.00482,-2.588481947
0.00483,-2.587768064
0.00484,-2.587055497
0.00485,-2.586344242
0.00486,-2.585634292
0.00487,-2.584925644
0.00488,-2.584218291
0.00489,-2.583512229
0.0049,-2.582807452
0.00491,-2.582103956
0.00492,-2.581401736
0.00493,-2.580700786
0.00494,-2.580001102
0.00495,-2.579302678
0.00496,-2.578605511
0.00497,-2.577909594
0.00498,-2.577214924
0.00499,-2.576521496
0.005,-2.575829304
0.00501,-2.575138344
0.00502,-2.574448611
0.00503,-2.573760101
0.00504,-2.573072808
0.00505,-2.572386729
0.00506,-2.571701859
0.00507,-2.571018193
0.00508,-2.570335726
0.00509,-2.569654455
0.0051,-2.568974374
0.00511,-2.568295479
0.00512,-2.567617766
0.00513,-2.56694123
0.00514,-2.566265867
0.00515,-2.565591672
0.00516,-2.564918642
0.00517,-2.564246771
0.00518,-2.563576056
0.00519,-2.562906493
0.0052,-2.562238076
0.00521,-2.561570802
0.00522,-2.560904666
0.00523,-2.560239666
0.00524,-2.559575795
0.00525,-2.55891305
0.00526,-2.558251428
0.00527,-2.557590923
0.00528,-2.556931533
0.00529,-2.556273252
0.0053,-2.555616077
0.00531,-2.554960004
0.00532,-2.554305029
0.00533,-2.553651148
0.00534,-2.552998357
0.00535,-2.552346652
0.00536,-2.551696029
0.00537,-2.551046485
0.00538,-2.550398015
0.00539,-2.549750616
0.0054,-2.549104284
0.00541,-2.548459015
0.00542,-2.547814805
0.00543,-2.547171651
0.00544,-2.546529548
0.00545,-2.545888494
0.00546,-2.545248485
0.00547,-2.544609516
0.00548,-2.543971585
0.00549,-2.543334687
0.0055,-2.542698819
0.00551,-2.542063978
0.00552,-2.54143016
0.00553,-2.54079736
0.00554,-2.540165577
0.00555,-2.539534806
0.00556,-2.538905044
0.00557,-2.538276287
0.00558,-2.537648532
0.00559,-2.537021775
0.0056,-2.536396013
0.00561,-2.535771243
0.00562,-2.535147461
0.00563,-2.534524665
0.00564,-2.533902849
0.00565,-2.533282012
0.00566,-2.53266215
0.00567,-2.532043259
0.00568,-2.531425337
0.00569,-2.530808379
0.0057,-2.530192384
0.00571,-2.529577347
0.00572,-2.528963265
0.00573,-2.528350136
0.00574,-2.527737956
0.00575,-2.527126721
0.00576,-2.52651643
0.00577,-2.525907077
0.00578,-2.525298662
0.00579,-2.524691179
0.0058,-2.524084627
0.00581,-2.523479002
0.00582,-2.522874301
0.00583,-2.522270522
0.00584,-2.52166766
0.00585,-2.521065714
0.00586,-2.520464679
0.00587,-2.519864554
0.00588,-2.519265335
0.00589,-2.518667019
0.0059,-2.518069603
0.00591,-2.517473085
0.00592,-2.516877461
0.00593,-2.516282729
0.00594,-2.515688886
0.00595,-2.515095928
0.00596,-2.514503853
0.00597,-2.513912659
0.00598,-2.513322342
0.00599,-2.512732899
0.006,-2.512144328
0.00601,-2.511556626
0.00602,-2.51096979
0.00603,-2.510383818
0.00604,-2.509798706
0.00605,-2.509214453
0.00606,-2.508631054
0.00607,-2.508048508
0.00608,-2.507466813
0.00609,-2.506885964
0.0061,-2.50630596
0.00611,-2.505726798
0.00612,-2.505148475
0.00613,-2.504570988
0.00614,-2.503994336
0.00615,-2.503418515
0.00616,-2.502843523
0.00617,-2.502269358
0.00618,-2.501696016
0.00619,-2.501123495
0.0062,-2.500551793
0.00621,-2.499980907
0.00622,-2.499410835
0.00623,-2.498841574
0.00624,-2.498273121
0.00625,-2.497705474
0.00626,-2.497138632
0.00627,-2.49657259
0.00628,-2.496007347
0.00629,-2.495442901
0.0063,-2.494879248
0.00631,-2.494316387
0.00632,-2.493754315
0.00633,-2.49319303
0.00634,-2.49263253
0.00635,-2.492072811
0.00636,-2.491513872
0.00637,-2.49095571
0.00638,-2.490398323
0.00639,-2.489841709
0.0064,-2.489285865
0.00641,-2.488730789
0.00642,-2.488176479
0.00643,-2.487622932
0.00644,-2.487070147
0.00645,-2.48651812
0.00646,-2.48596685
0.00647,-2.485416335
0.00648,-2.484866572
0.00649,-2.484317559
0.0065,-2.483769293
0.00651,-2.483221773
0.00652,-2.482674997
0.00653,-2.482128962
0.00654,-2.481583666
0.00655,-2.481039107
0.00656,-2.480495282
0.00657,-2.47995219
0.00658,-2.479409829
0.00659,-2.478868196
0.0066,-2.478327289
0.00661,-2.477787107
0.00662,-2.477247646
0.00663,-2.476708905
0.00664,-2.476170883
0.00665,-2.475633576
0.00666,-2.475096982
0.00667,-2.474561101
0.00668,-2.474025929
0.00669,-2.473491465
0.0067,-2.472957707
0.00671,-2.472424652
0.00672,-2.471892298
0.00673,-2.471360645
0.00674,-2.470829689
0.00675,-2.470299428
0.00676,-2.469769862
0.00677,-2.469240987
0.00678,-2.468712801
0.00679,-2.468185304
0.0068,-2.467658493
0.00681,-2.467132365
0.00682,-2.466606919
0.00683,-2.466082154
0.00684,-2.465558067
0.00685,-2.465034656
0.00686,-2.46451192
0.00687,-2.463989856
0.00688,-2.463468463
0.00689,-2.462947739
0.0069,-2.462427681
0.00691,-2.461908289
0.00692,-2.46138956
0.00693,-2.460871493
0.00694,-2.460354085
0.00695,-2.459837335
0.00696,-2.459321241
0.00697,-2.458805802
0.00698,-2.458291015
0.00699,-2.457776878
0.007,-2.45726339
0.00701,-2.45675055
0.00702,-2.456238354
0.00703,-2.455726802
0.00704,-2.455215892
0.00705,-2.454705623
0.00706,-2.454195991
0.00707,-2.453686996
0.00708,-2.453178636
0.00709,-2.452670909
0.0071,-2.452163814
0.00711,-2.451657348
0.00712,-2.451151511
0.00713,-2.4506463
0.00714,-2.450141714
0.00715,-2.44963775
0.00716,-2.449134408
0.00717,-2.448631686
0.00718,-2.448129582
0.00719,-2.447628095
0.0072,-2.447127222
0.00721,-2.446626962
0.00722,-2.446127314
0.00723,-2.445628276
0.00724,-2.445129846
0.00725,-2.444632023
0.00726,-2.444134804
0.00727,-2.44363819
0.00728,-2.443142177
0.00729,-2.442646765
0.0073,-2.442151952
0.00731,-2.441657735
0.00732,-2.441164115
0.00733,-2.440671088
0.00734,-2.440178654
0.00735,-2.439686811
0.00736,-2.439195558
0.00737,-2.438704892
0.00738,-2.438214813
0.00739,-2.437725319
0.0074,-2.437236408
0.00741,-2.436748079
0.00742,-2.436260331
0.00743,-2.435773161
0.00744,-2.435286569
0.00745,-2.434800553
0.00746,-2.434315111
0.00747,-2.433830242
0.00748,-2.433345945
0.00749,-2.432862217
0.0075,-2.432379059
0.00751,-2.431896467
0.00752,-2.431414441
0.00753,-2.43093298
0.00754,-2.430452081
0.00755,-2.429971744
0.00756,-2.429491966
0.00757,-2.429012748
0.00758,-2.428534086
0.00759,-2.42805598
0.0076,-2.427578429
0.00761,-2.427101431
0.00762,-2.426624984
0.00763,-2.426149087
0.00764,-2.425673739
0.00765,-2.425198939
0.00766,-2.424724685
0.00767,-2.424250975
0.00768,-2.423777809
0.00769,-2.423305185
0.0077,-2.422833102
0.00771,-2.422361558
0.00772,-2.421890552
0.00773,-2.421420082
0.00774,-2.420950148
0.00775,-2.420480748
0.00776,-2.420011881
0.00777,-2.419543545
0.00778,-2.41907574
0.00779,-2.418608463
0.0078,-2.418141713
0.00781,-2.41767549
0.00782,-2.417209792
0.00783,-2.416744617
0.00784,-2.416279965
0.00785,-2.415815833
0.00786,-2.415352222
0.00787,-2.414889129
0.00788,-2.414426554
0.00789,-2.413964494
0.0079,-2.41350295
0.00791,-2.413041918
0.00792,-2.4125814
0.00793,-2.412121392
0.00794,-2.411661894
0.00795,-2.411202905
0.00796,-2.410744423
0.00797,-2.410286448
0.00798,-2.409828977
0.00799,-2.40937201
0.008,-2.408915546
0.00801,-2.408459583
0.00802,-2.40800412
0.00803,-2.407549156
0.00804,-2.40709469
0.00805,-2.406640721
0.00806,-2.406187247
0.00807,-2.405734268
0.00808,-2.405281781
0.00809,-2.404829786
0.0081,-2.404378283
0.00811,-2.403927268
0.00812,-2.403476743
0.00813,-2.403026704
0.00814,-2.402577152
0.00815,-2.402128085
0.00816,-2.401679501
0.00817,-2.401231401
0.00818,-2.400783782
0.00819,-2.400336643
0.0082,-2.399889984
0.00821,-2.399443804
0.00822,-2.3989981
0.00823,-2.398552872
0.00824,-2.39810812
0.00825,-2.397663841
0.00826,-2.397220035
0.00827,-2.396776701
0.00828,-2.396333837
0.00829,-2.395891443
0.0083,-2.395449517
0.00831,-2.395008058
0.00832,-2.394567066
0.00833,-2.394126539
0.00834,-2.393686476
0.00835,-2.393246876
0.00836,-2.392807738
0.00837,-2.392369061
0.00838,-2.391930844
0.00839,-2.391493086
0.0084,-2.391055786
0.00841,-2.390618942
0.00842,-2.390182554
0.00843,-2.389746621
0.00844,-2.389311142
0.00845,-2.388876115
0.00846,-2.38844154
0.00847,-2.388007415
0.00848,-2.38757374
0.00849,-2.387140513
0.0085,-2.386707734
0.00851,-2.386275402
0.00852,-2.385843515
0.00853,-2.385412073
0.00854,-2.384981075
0.00855,-2.384550518
0.00856,-2.384120404
0.00857,-2.38369073
0.00858,-2.383261496
0.00859,-2.3828327
0.0086,-2.382404342
0.00861,-2.381976421
0.00862,-2.381548936
0.00863,-2.381121885
0.00864,-2.380695268
0.00865,-2.380269084
0.00866,-2.379843332
0.00867,-2.379418011
0.00868,-2.378993119
0.00869,-2.378568657
0.0087,-2.378144623
0.00871,-2.377721016
0.00872,-2.377297836
0.00873,-2.37687508
0.00874,-2.376452749
0.00875,-2.376030842
0.00876,-2.375609357
0.00877,-2.375188294
0.00878,-2.374767651
0.00879,-2.374347428
0.0088,-2.373927624
0.00881,-2.373508238
0.00882,-2.373089269
0.00883,-2.372670716
0.00884,-2.372252578
0.00885,-2.371834855
0.00886,-2.371417545
0.00887,-2.371000648
0.00888,-2.370584162
0.00889,-2.370168087
0.0089,-2.369752422
0.00891,-2.369337167
0.00892,-2.368922319
0.00893,-2.368507878
0.00894,-2.368093844
0.00895,-2.367680216
0.00896,-2.367266992
0.00897,-2.366854172
0.00898,-2.366441755
0.00899,-2.36602974
0.009,-2.365618127
0.00901,-2.365206914
0.00902,-2.3647961
0.00903,-2.364385685
0.00904,-2.363975668
0.00905,-2.363566048
0.00906,-2.363156824
0.00907,-2.362747996
0.00908,-2.362339562
0.00909,-2.361931522
0.0091,-2.361523874
0.00911,-2.361116619
0.00912,-2.360709755
0.00913,-2.360303281
0.00914,-2.359897197
0.00915,-2.359491502
0.00916,-2.359086195
0.00917,-2.358681275
0.00918,-2.358276741
0.00919,-2.357872593
0.0092,-2.357468829
0.00921,-2.35706545
0.00922,-2.356662453
0.00923,-2.356259839
0.00924,-2.355857607
0.00925,-2.355455755
0.00926,-2.355054284
0.00927,-2.354653192
0.00928,-2.354252478
0.00929,-2.353852141
0.0093,-2.353452182
0.00931,-2.353052599
0.00932,-2.352653391
0.00933,-2.352254558
0.00934,-2.351856098
0.00935,-2.351458012
0.00936,-2.351060298
0.00937,-2.350662955
0.00938,-2.350265984
0.00939,-2.349869382
0.0094,-2.349473149
0.00941,-2.349077285
0.00942,-2.348681789
0.00943,-2.34828666
0.00944,-2.347891897
0.00945,-2.3474975
0.00946,-2.347103467
0.00947,-2.346709799
0.00948,-2.346316494
0.00949,-2.345923551
0.0095,-2.345530971
0.00951,-2.345138751
0.00952,-2.344746892
0.00953,-2.344355393
0.00954,-2.343964253
0.00955,-2.343573471
0.00956,-2.343183046
0.00957,-2.342792979
0.00958,-2.342403267
0.00959,-2.342013911
0.0096,-2.34162491
0.00961,-2.341236263
0.00962,-2.340847969
0.00963,-2.340460028
0.00964,-2.340072438
0.00965,-2.3396852
0.00966,-2.339298312
0.00967,-2.338911774
0.00968,-2.338525586
0.00969,-2.338139745
0.0097,-2.337754253
0.00971,-2.337369108
0.00972,-2.336984309
0.00973,-2.336599855
0.00974,-2.336215747
0.00975,-2.335831983
0.00976,-2.335448563
0.00977,-2.335065486
0.00978,-2.334682751
0.00979,-2.334300358
0.0098,-2.333918306
0.00981,-2.333536595
0.00982,-2.333155223
0.00983,-2.33277419
0.00984,-2.332393495
0.00985,-2.332013138
